DateTime,Away,Home
"Sun, Dec 8, 2013 7:00 pm",Indiana Pacers,Oklahoma City Thunder
"Mon, Dec 9, 2013 7:00 pm",Golden State Warriors,Charlotte Bobcats
"Mon, Dec 9, 2013 8:00 pm",Orlando Magic,Memphis Grizzlies
"Mon, Dec 9, 2013 7:00 pm",Los Angeles Clippers,Philadelphia 76ers
"Mon, Dec 9, 2013 10:00 pm",Dallas Mavericks,Sacramento Kings
"Mon, Dec 9, 2013 9:00 pm",Portland Trail Blazers,Utah Jazz
"Mon, Dec 9, 2013 7:00 pm",Denver Nuggets,Washington Wizards
"Tue, Dec 10, 2013 7:30 pm",Oklahoma City Thunder,Atlanta Hawks
"Tue, Dec 10, 2013 7:30 pm",Boston Celtics,Brooklyn Nets
"Tue, Dec 10, 2013 8:00 pm",Milwaukee Bucks,Chicago Bulls
"Tue, Dec 10, 2013 7:00 pm",New York Knicks,Cleveland Cavaliers
"Tue, Dec 10, 2013 7:30 pm",Minnesota Timberwolves,Detroit Pistons
"Tue, Dec 10, 2013 7:00 pm",Miami Heat,Indiana Pacers
"Tue, Dec 10, 2013 10:30 pm",Phoenix Suns,Los Angeles Lakers
"Tue, Dec 10, 2013 7:00 pm",San Antonio Spurs,Toronto Raptors
"Wed, Dec 11, 2013 7:30 pm",Los Angeles Clippers,Boston Celtics
"Wed, Dec 11, 2013 7:00 pm",Orlando Magic,Charlotte Bobcats
"Wed, Dec 11, 2013 10:30 pm",Dallas Mavericks,Golden State Warriors
"Wed, Dec 11, 2013 8:00 pm",Oklahoma City Thunder,Memphis Grizzlies
"Wed, Dec 11, 2013 8:00 pm",San Antonio Spurs,Milwaukee Bucks
"Wed, Dec 11, 2013 8:00 pm",Philadelphia 76ers,Minnesota Timberwolves
"Wed, Dec 11, 2013 8:00 pm",Detroit Pistons,New Orleans Pelicans
"Wed, Dec 11, 2013 8:00 pm",Chicago Bulls,New York Knicks
"Wed, Dec 11, 2013 10:00 pm",Utah Jazz,Sacramento Kings
"Thu, Dec 12, 2013 8:00 pm",Los Angeles Clippers,Brooklyn Nets
"Thu, Dec 12, 2013 10:30 pm",Houston Rockets,Portland Trail Blazers
"Fri, Dec 13, 2013 7:30 pm",Washington Wizards,Atlanta Hawks
"Fri, Dec 13, 2013 7:30 pm",New York Knicks,Boston Celtics
"Fri, Dec 13, 2013 9:00 pm",Utah Jazz,Denver Nuggets
"Fri, Dec 13, 2013 7:30 pm",Brooklyn Nets,Detroit Pistons
"Fri, Dec 13, 2013 10:30 pm",Houston Rockets,Golden State Warriors
"Fri, Dec 13, 2013 7:00 pm",Charlotte Bobcats,Indiana Pacers
"Fri, Dec 13, 2013 8:30 pm",Chicago Bulls,Milwaukee Bucks
"Fri, Dec 13, 2013 8:00 pm",Memphis Grizzlies,New Orleans Pelicans
"Fri, Dec 13, 2013 8:00 pm",Los Angeles Lakers,Oklahoma City Thunder
"Fri, Dec 13, 2013 7:00 pm",Cleveland Cavaliers,Orlando Magic
